,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,WIDTH,DEPTH,VELOCITY
Ki04,0.043,0.047,0.054,0.064,0.079,0.048,0.055,0.047,0.054,0.000,0.000,0.711,0.512,0.075,0.088,0.064,0.079,0.001,0.001,1.050,0.440,0.083,0.084,0.079,0.079,0.001,0.001,0.660,0.852,0.095,0.097,0.095,0.104,0.001,0.001,-0.306,-0.397,3.000,4.000,7.000,11.000,0.000,0.000,0.000,0.000,100.000,57.143,50.000,36.667,0.000,0.000,0.000,0.000,-0.005,-0.014,-0.003,-0.002,2.500,0.240,0.180
Ki05,0.018,0.019,0.021,0.025,0.030,0.019,0.022,0.019,0.021,0.000,0.000,0.722,0.568,0.028,0.033,0.025,0.030,0.000,0.000,1.064,0.611,0.032,0.033,0.031,0.031,0.000,0.000,0.604,0.772,0.028,0.028,0.026,0.026,0.000,0.000,1.433,1.470,2.000,2.000,2.000,6.000,0.000,0.000,0.000,0.000,66.667,28.571,14.286,20.000,0.000,0.000,0.000,0.000,-0.002,-0.005,-0.001,0.000,3.100,0.350,0.091
Ki06,0.018,0.020,0.023,0.027,0.033,0.020,0.023,0.020,0.023,0.000,0.000,-0.120,1.073,0.032,0.038,0.027,0.033,0.000,0.000,1.032,0.689,0.037,0.038,0.036,0.036,0.000,0.000,0.659,0.834,0.056,0.058,0.044,0.050,0.001,0.001,0.225,0.107,3.000,5.000,7.000,11.000,0.000,0.000,0.000,0.000,100.000,71.429,50.000,36.667,0.000,0.000,0.000,0.000,-0.002,-0.006,-0.001,-0.003,2.500,0.210,0.119
Ki07,0.009,0.010,0.012,0.014,0.018,0.010,0.012,0.010,0.012,0.000,0.000,0.699,0.535,0.016,0.020,0.014,0.018,0.000,0.000,0.990,0.632,0.019,0.019,0.017,0.017,0.000,0.000,0.834,0.956,0.015,0.015,0.013,0.013,0.000,0.000,1.740,1.758,2.000,2.000,2.000,8.000,0.000,0.000,0.000,0.000,66.667,28.571,14.286,26.667,0.000,0.000,0.000,0.000,-0.001,-0.003,-0.001,0.000,2.610,0.380,0.042
Sa01,0.451,0.383,0.331,0.336,0.337,0.389,0.350,0.383,0.336,0.004,0.001,0.380,1.685,0.378,0.374,0.376,0.376,0.002,0.002,0.619,0.387,0.271,0.242,0.333,0.316,0.023,0.023,-0.494,-0.242,0.152,0.138,0.050,0.050,0.023,0.020,0.973,1.137,0.000,0.000,4.000,20.000,2.000,4.000,5.000,5.000,0.000,0.000,28.571,66.667,66.667,57.143,35.714,16.667,0.060,0.003,0.031,0.014,8.500,0.400,0.203
sa02,0.118,0.101,0.086,0.089,0.092,0.101,0.092,0.101,0.089,0.000,0.000,0.184,1.433,0.106,0.110,0.101,0.101,0.000,0.001,0.915,0.779,0.080,0.072,0.090,0.087,0.002,0.003,-0.307,-0.027,0.041,0.037,0.008,0.008,0.002,0.002,1.035,1.240,0.000,0.000,2.000,18.000,3.000,7.000,9.000,9.000,0.000,0.000,14.286,60.000,100.000,100.000,64.286,30.000,0.016,-0.004,0.008,0.004,1.500,0.300,0.387
Sa03,0.173,0.141,0.071,0.080,0.053,0.128,0.097,0.141,0.080,0.003,0.001,-1.053,1.607,0.094,0.097,0.080,0.080,0.002,0.003,0.746,1.021,0.085,0.074,0.076,0.062,0.004,0.004,0.604,0.923,0.047,0.042,0.014,0.014,0.003,0.003,1.646,1.949,0.000,1.000,5.000,21.000,2.000,3.000,5.000,5.000,0.000,14.286,35.714,70.000,66.667,42.857,35.714,16.667,0.051,0.016,0.008,0.004,2.200,1.020,0.079
Sa04,0.180,0.175,0.105,0.118,0.104,0.153,0.133,0.175,0.118,0.002,0.001,-1.699,1.508,0.134,0.136,0.118,0.118,0.001,0.001,0.670,0.891,0.106,0.095,0.108,0.105,0.004,0.004,-0.081,0.153,0.060,0.055,0.022,0.021,0.004,0.003,1.154,1.350,0.000,0.000,4.000,20.000,2.000,3.000,5.000,5.000,0.000,0.000,28.571,66.667,66.667,42.857,35.714,16.667,0.037,0.008,0.011,0.005,2.000,0.260,0.684
Ju01,0.918,0.981,0.799,0.665,0.626,0.899,0.815,0.918,0.799,0.009,0.025,-0.870,0.447,0.775,0.754,0.756,0.756,0.018,0.014,0.605,1.208,0.577,0.514,0.673,0.646,0.086,0.095,-0.517,-0.315,0.301,0.272,0.096,0.088,0.108,0.096,0.883,1.040,0.000,0.000,3.000,19.000,3.000,7.000,9.000,9.000,0.000,0.000,21.429,63.333,100.000,100.000,64.286,30.000,0.059,0.045,0.063,0.032,6.900,1.200,0.236
Ju02,0.178,0.229,0.192,0.134,0.130,0.200,0.185,0.192,0.192,0.001,0.002,1.225,-0.638,0.156,0.148,0.134,0.130,0.002,0.002,0.729,1.347,0.119,0.107,0.122,0.120,0.004,0.004,0.036,0.233,0.065,0.059,0.021,0.019,0.004,0.004,1.093,1.301,0.000,0.000,4.000,20.000,1.000,1.000,1.000,1.000,0.000,0.000,28.571,66.667,33.333,14.286,7.143,3.333,-0.007,0.017,0.013,0.006,2.400,0.550,0.747
