,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,WIDTH,DEPTH,VELOCITY
Tr01,16.470,15.120,13.950,13.680,14.490,15.180,14.250,15.120,13.950,1.590,0.586,0.214,1.493,15.377,15.326,15.120,15.120,2.153,2.040,0.380,0.490,11.242,10.185,13.815,12.735,31.574,35.310,-0.607,-0.320,6.406,5.924,2.957,2.786,35.458,32.390,0.888,1.069,0.000,0.000,1.000,14.000,3.000,7.000,9.000,9.000,0.000,0.000,7.143,46.667,100.000,100.000,64.286,30.000,1.260,-0.228,1.140,0.559,17.100,1.300,0.346
Tr02,0.709,0.726,0.697,0.678,0.669,0.711,0.700,0.709,0.697,0.000,0.001,0.448,0.647,0.727,0.770,0.709,0.717,0.006,0.017,2.242,1.393,0.621,0.576,0.687,0.673,0.064,0.084,-0.598,-0.439,0.349,0.329,0.192,0.169,0.097,0.095,0.745,0.910,0.000,0.000,0.000,8.000,3.000,7.000,12.000,12.000,0.000,0.000,0.000,26.667,100.000,100.000,85.714,40.000,0.006,-0.018,0.039,0.029,2.800,0.700,0.792
Tr03,15.840,14.490,13.140,12.960,13.500,14.490,13.530,14.490,13.140,1.823,0.699,0.000,1.642,14.529,14.464,14.490,14.490,1.960,1.792,0.283,0.369,10.666,9.648,13.050,12.195,28.221,31.378,-0.617,-0.335,6.072,5.608,2.772,2.592,31.861,28.944,0.884,1.061,0.000,0.000,1.000,16.000,3.000,7.000,9.000,9.000,0.000,0.000,7.143,53.333,100.000,100.000,64.286,30.000,1.350,-0.141,1.082,0.531,11.400,2.000,0.611
Tr04,0.238,0.251,0.239,0.232,0.230,0.243,0.241,0.239,0.239,0.000,0.000,1.615,0.690,0.242,0.251,0.238,0.239,0.000,0.001,1.499,1.465,0.217,0.206,0.234,0.231,0.003,0.005,-0.699,-0.529,0.153,0.149,0.118,0.113,0.005,0.005,0.711,0.877,0.000,0.000,0.000,0.000,3.000,7.000,10.000,10.000,0.000,0.000,0.000,0.000,100.000,100.000,71.429,33.333,-0.001,-0.002,0.009,0.007,3.100,0.480,0.236
Tr05,14.580,13.590,12.060,11.880,12.330,13.410,12.510,13.590,12.060,1.612,0.883,-0.625,1.661,13.333,13.359,13.590,13.590,1.667,1.747,0.268,0.266,9.988,9.051,11.970,11.655,23.480,26.509,-0.663,-0.380,5.664,5.238,2.556,2.354,27.547,25.135,0.857,1.032,0.000,0.000,1.000,14.000,3.000,7.000,9.000,9.000,0.000,0.000,7.143,46.667,100.000,100.000,64.286,30.000,1.260,-0.084,0.971,0.494,14.000,0.600,9.150
Tr06,11.250,10.710,9.630,9.540,10.080,10.530,9.960,10.710,9.630,0.680,0.424,-0.935,1.695,10.684,10.813,10.710,10.710,1.058,1.343,0.564,0.371,8.162,7.446,9.630,9.585,14.539,16.956,-0.703,-0.410,4.655,4.330,2.201,2.007,17.730,16.461,0.829,1.009,0.000,0.000,1.000,13.000,3.000,7.000,10.000,10.000,0.000,0.000,7.143,43.333,100.000,100.000,71.429,33.333,0.810,-0.174,0.738,0.395,14.500,0.650,9.080
Tr07,8.145,7.524,6.606,6.534,7.011,7.425,6.888,7.524,6.606,0.599,0.305,-0.566,1.699,7.497,7.487,7.524,7.524,0.681,0.666,0.213,0.238,5.426,4.884,6.570,6.260,8.408,9.348,-0.614,-0.322,2.947,2.700,1.112,1.026,9.358,8.529,0.893,1.074,0.000,0.000,1.000,14.000,3.000,7.000,9.000,9.000,0.000,0.000,7.143,46.667,100.000,100.000,64.286,30.000,0.770,-0.106,0.581,0.286,11.400,1.450,10.240
Tr08,0.518,0.454,0.361,0.331,0.290,0.444,0.382,0.454,0.361,0.006,0.004,-0.540,1.320,0.370,0.337,0.347,0.331,0.007,0.004,1.019,1.363,0.231,0.194,0.286,0.220,0.029,0.025,0.067,0.112,0.114,0.097,0.016,0.016,0.025,0.020,1.289,1.364,0.000,0.000,4.000,20.000,3.000,7.000,8.000,8.000,0.000,0.000,28.571,66.667,100.000,100.000,57.143,26.667,0.078,0.032,0.039,0.015,4.000,0.550,7.780
Tr09,7.065,6.228,6.156,6.678,7.569,6.483,6.354,6.228,6.228,0.255,0.080,1.693,1.607,7.115,6.942,7.065,6.678,0.671,0.903,0.224,0.370,4.672,4.206,6.003,4.725,8.413,9.053,-0.330,-0.027,2.590,2.379,0.999,0.900,7.716,7.100,1.068,1.278,0.000,0.000,2.000,15.000,3.000,7.000,8.000,8.000,0.000,0.000,14.286,50.000,100.000,100.000,57.143,26.667,0.455,-0.277,0.592,0.251,9.800,1.050,0.659
Tr10,0.640,0.619,0.604,0.600,0.644,0.621,0.608,0.619,0.604,0.000,0.000,0.444,1.485,0.691,0.717,0.640,0.644,0.015,0.017,1.391,0.604,0.525,0.482,0.602,0.587,0.070,0.085,-0.447,-0.231,0.290,0.271,0.141,0.117,0.083,0.080,0.886,1.064,0.000,0.000,1.000,8.000,3.000,7.000,11.000,11.000,0.000,0.000,7.143,26.667,100.000,100.000,78.571,36.667,0.018,-0.045,0.045,0.026,1.600,0.340,0.759
Tr11,6.291,5.445,5.175,5.670,6.426,5.637,5.430,5.445,5.445,0.339,0.061,1.323,-0.271,6.112,5.934,6.291,5.670,0.490,0.639,-0.027,0.373,3.978,3.562,5.108,4.064,6.425,6.777,-0.334,-0.027,2.192,2.003,0.764,0.702,5.777,5.247,1.075,1.285,0.000,0.000,3.000,18.000,3.000,7.000,8.000,8.000,0.000,0.000,21.429,60.000,100.000,100.000,57.143,26.667,0.558,-0.205,0.521,0.217,9.700,1.100,0.000
Tr12,5.958,5.139,4.851,5.319,6.066,5.316,5.103,5.139,5.139,0.330,0.056,1.255,-0.670,5.795,5.657,5.958,5.319,0.503,0.583,-0.023,0.478,3.814,3.421,4.923,3.965,5.737,6.084,-0.349,-0.042,2.109,1.931,0.746,0.684,5.211,4.745,1.065,1.274,0.000,0.000,3.000,17.000,3.000,7.000,8.000,8.000,0.000,0.000,21.429,56.667,100.000,100.000,57.143,26.667,0.554,-0.215,0.487,0.206,10.000,0.990,0.359
Tr13,5.562,4.878,4.437,4.842,5.508,4.959,4.719,4.878,4.842,0.321,0.060,0.630,-1.690,5.356,5.243,5.508,4.878,0.436,0.471,-0.048,0.505,3.556,3.190,4.604,3.686,4.852,5.149,-0.367,-0.062,1.973,1.807,0.715,0.648,4.451,4.046,1.053,1.259,0.000,0.000,2.000,15.000,3.000,7.000,8.000,8.000,0.000,0.000,14.286,50.000,100.000,100.000,57.143,26.667,0.563,-0.187,0.447,0.191,11.400,0.800,0.375
Tr14,4.752,4.167,3.897,4.203,4.851,4.272,4.089,4.167,4.167,0.191,0.028,1.019,-1.642,4.676,4.580,4.752,4.203,0.379,0.427,0.177,0.593,3.086,2.774,3.987,3.164,3.729,3.974,-0.321,-0.016,1.723,1.582,0.639,0.585,3.361,3.075,1.079,1.290,0.000,0.000,2.000,15.000,3.000,7.000,8.000,8.000,0.000,0.000,14.286,50.000,100.000,100.000,57.143,26.667,0.428,-0.195,0.388,0.164,13.000,0.850,0.284
Tr15,3.762,3.528,3.771,4.401,5.049,3.687,3.900,3.762,3.771,0.019,0.203,-1.724,1.183,4.179,3.954,3.771,3.771,0.397,0.970,0.646,-0.764,2.521,2.276,2.858,1.742,3.360,3.547,0.005,0.296,1.430,1.320,0.521,0.510,2.591,2.423,1.302,1.534,0.000,0.000,3.000,12.000,3.000,7.000,7.000,7.000,0.000,0.000,21.429,40.000,100.000,100.000,50.000,23.333,-0.005,-0.149,0.374,0.138,8.200,0.850,0.162
Tr16,3.600,3.357,3.555,4.158,4.797,3.504,3.690,3.555,3.555,0.017,0.174,-1.499,1.304,3.986,3.774,3.654,3.654,0.359,0.865,0.667,-0.724,2.405,2.169,2.736,1.678,3.064,3.235,-0.002,0.289,1.358,1.252,0.487,0.473,2.372,2.217,1.296,1.528,0.000,0.000,3.000,9.000,3.000,7.000,7.000,7.000,0.000,0.000,21.429,30.000,100.000,100.000,50.000,23.333,0.023,-0.152,0.357,0.132,7.700,0.880,0.235
Tr17,2.295,2.169,2.313,2.772,3.159,2.259,2.418,2.295,2.313,0.006,0.099,-1.630,1.334,2.548,2.394,2.313,2.313,0.172,0.429,0.566,-0.799,1.519,1.370,1.683,0.972,1.285,1.349,0.063,0.354,0.858,0.790,0.304,0.296,0.974,0.911,1.346,1.583,0.000,0.000,3.000,7.000,3.000,7.000,7.000,7.000,0.000,0.000,21.429,23.333,100.000,100.000,50.000,23.333,-0.009,-0.073,0.232,0.084,7.800,0.650,0.732
Tr18,0.600,0.545,0.534,0.601,0.725,0.560,0.560,0.545,0.545,0.001,0.001,1.523,1.529,0.644,0.620,0.601,0.601,0.010,0.016,0.434,-0.044,0.390,0.349,0.483,0.317,0.084,0.089,-0.101,0.198,0.207,0.189,0.057,0.050,0.068,0.063,1.226,1.452,0.000,0.000,2.000,8.000,3.000,7.000,8.000,8.000,0.000,0.000,14.286,26.667,100.000,100.000,57.143,26.667,0.033,-0.036,0.058,0.023,1.700,0.620,0.707
Tr19,1.206,1.161,1.188,1.413,1.683,1.185,1.254,1.188,1.188,0.001,0.019,-0.586,1.658,1.359,1.282,1.206,1.206,0.052,0.121,0.798,-0.645,0.830,0.754,0.914,0.537,0.343,0.361,0.101,0.383,0.488,0.454,0.203,0.197,0.260,0.244,1.370,1.605,0.000,0.000,3.000,6.000,3.000,7.000,7.000,7.000,0.000,0.000,21.429,20.000,100.000,100.000,50.000,23.333,0.009,-0.053,0.117,0.043,3.500,0.810,0.513
Tr20,0.714,0.687,0.673,0.776,0.963,0.691,0.712,0.687,0.687,0.000,0.003,0.935,1.618,0.802,0.763,0.776,0.776,0.018,0.037,0.846,-0.403,0.477,0.429,0.556,0.328,0.131,0.139,0.017,0.302,0.257,0.235,0.077,0.072,0.103,0.097,1.305,1.535,0.000,0.000,1.000,1.000,3.000,7.000,8.000,8.000,0.000,0.000,7.143,3.333,100.000,100.000,57.143,26.667,0.020,-0.042,0.072,0.027,6.900,1.150,0.212
Tr21,0.408,0.406,0.414,0.455,0.494,0.409,0.425,0.408,0.414,0.000,0.001,1.390,1.552,0.438,0.411,0.414,0.414,0.002,0.009,0.577,-1.582,0.257,0.229,0.302,0.158,0.039,0.040,-0.067,0.242,0.141,0.129,0.046,0.043,0.029,0.027,1.267,1.503,0.000,0.000,3.000,9.000,3.000,7.000,7.000,7.000,0.000,0.000,21.429,30.000,100.000,100.000,50.000,23.333,-0.003,-0.008,0.041,0.015,3.600,0.400,0.834
Tr22,0.279,0.248,0.241,0.251,0.295,0.256,0.247,0.248,0.248,0.000,0.000,1.545,-0.782,0.281,0.274,0.279,0.251,0.001,0.002,0.342,0.510,0.177,0.158,0.235,0.170,0.015,0.016,-0.238,0.072,0.096,0.088,0.031,0.029,0.013,0.012,1.141,1.360,0.000,0.000,2.000,5.000,3.000,7.000,8.000,8.000,0.000,0.000,14.286,16.667,100.000,100.000,57.143,26.667,0.019,-0.013,0.025,0.010,4.000,0.900,0.218
Bo01,0.239,0.239,0.239,0.243,0.246,0.239,0.240,0.239,0.239,0.000,0.000,#DIV/0!,1.732,0.247,0.254,0.243,0.246,0.000,0.000,1.259,1.111,0.280,0.284,0.269,0.277,0.002,0.002,0.567,0.465,0.274,0.274,0.267,0.267,0.001,0.001,1.006,1.031,3.000,7.000,14.000,30.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.007,0.000,6.600,0.500,0.249
Bo02,0.234,0.234,0.234,0.238,0.241,0.234,0.235,0.234,0.234,0.000,0.000,#DIV/0!,1.732,0.242,0.247,0.238,0.241,0.000,0.000,1.405,1.065,0.273,0.276,0.263,0.270,0.001,0.001,0.549,0.449,0.268,0.269,0.262,0.263,0.001,0.001,0.951,0.965,3.000,7.000,14.000,30.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.007,0.000,7.000,0.650,0.000
Bo03,0.222,0.221,0.221,0.225,0.230,0.222,0.223,0.221,0.221,0.000,0.000,1.732,1.732,0.229,0.234,0.225,0.230,0.000,0.000,1.385,1.038,0.260,0.263,0.252,0.258,0.001,0.001,0.536,0.434,0.257,0.258,0.252,0.255,0.001,0.001,0.888,0.892,3.000,7.000,14.000,30.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.007,0.000,6.200,0.240,0.373
